"","percent_tyrosine","species_code"
"1",0.1146,"IngF"
"2",0.116933333333333,"IngU"
"3",0.103566666666667,"LA10"
"4",0.114566666666667,"LA2"
"5",0.0633333333333333,"LA3"
"6",0.1064,"LA32"
"7",0.0332,"LA34"
"8",0.159725,"LA60"
"9",0.086575,"M25"
"10",0.0647333333333333,"M29"
"11",0.1418,"M4"
"12",0.138466666666667,"M61"
"13",0.100966666666667,"M62"
"14",0.0466666666666667,"M63"
"15",0.1659,"M68"
"16",0.0533666666666667,"N16"
"17",0.0983666666666667,"N21"
"18",0.1482,"N25"
"19",0.1962,"N30"
"20",0.137533333333333,"N46"
"21",0.0487666666666667,"N5"
"22",0.0890153846153846,"N65"
"23",0.05295,"N67"
"24",0.147133333333333,"N8"
"25",0.0587555555555556,"N9"
"26",0.144866666666667,"T20"
"27",0.11156,"T23"
"28",0.01395,"T50"
"29",0.0793,"T58"
"30",0.103175,"T73"
"31",0.100366666666667,"T74"
